,name,url
11,2012中国好声音,/f/index/forumpark?cn=2012%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3&ci=0&pcn=%E5%A8%B1%E4%B9%90%E6%98%8E%E6%98%9F&pci=0&ct=1
12,音乐制作人,/f/index/forumpark?cn=%E9%9F%B3%E4%B9%90%E5%88%B6%E4%BD%9C%E4%BA%BA&ci=0&pcn=%E5%A8%B1%E4%B9%90%E6%98%8E%E6%98%9F&pci=0&ct=1
13,其他粉丝组织,/f/index/forumpark?cn=%E5%85%B6%E4%BB%96%E7%B2%89%E4%B8%9D%E7%BB%84%E7%BB%87&ci=0&pcn=%E5%A8%B1%E4%B9%90%E6%98%8E%E6%98%9F&pci=0&ct=1
14,明星官方吧,/f/index/forumpark?cn=%E6%98%8E%E6%98%9F%E5%AE%98%E6%96%B9%E5%90%A7&ci=0&pcn=%E5%A8%B1%E4%B9%90%E6%98%8E%E6%98%9F&pci=0&ct=1
15,网络名人,/f/index/forumpark?cn=%E7%BD%91%E7%BB%9C%E5%90%8D%E4%BA%BA&ci=0&pcn=%E5%A8%B1%E4%B9%90%E6%98%8E%E6%98%9F&pci=0&ct=1
16,内地综艺,/f/index/forumpark?cn=%E5%86%85%E5%9C%B0%E7%BB%BC%E8%89%BA&ci=0&pcn=%E7%94%B5%E8%A7%86%E8%8A%82%E7%9B%AE&pci=0&ct=1
17,台湾综艺,/f/index/forumpark?cn=%E5%8F%B0%E6%B9%BE%E7%BB%BC%E8%89%BA&ci=0&pcn=%E7%94%B5%E8%A7%86%E8%8A%82%E7%9B%AE&pci=0&ct=1
18,韩国综艺,/f/index/forumpark?cn=%E9%9F%A9%E5%9B%BD%E7%BB%BC%E8%89%BA&ci=0&pcn=%E7%94%B5%E8%A7%86%E8%8A%82%E7%9B%AE&pci=0&ct=1
19,时尚·生活服务,/f/index/forumpark?cn=%E6%97%B6%E5%B0%9A%C2%B7%E7%94%9F%E6%B4%BB%E6%9C%8D%E5%8A%A1&ci=0&pcn=%E7%94%B5%E8%A7%86%E8%8A%82%E7%9B%AE&pci=0&ct=1
20,体育运动·健身,/f/index/forumpark?cn=%E4%BD%93%E8%82%B2%E8%BF%90%E5%8A%A8%C2%B7%E5%81%A5%E8%BA%AB&ci=0&pcn=%E7%94%B5%E8%A7%86%E8%8A%82%E7%9B%AE&pci=0&ct=1
