num	attraction	latitude	longitude
127	Petrie Museum of Egyptian Archaeology	51.52455920000001	-0.1340401
128	St George’s Church	51.517962	-0.124257
129	Freud Museum	51.5482895	-0.1773545
130	Horse Guards Parade at Whitehall	51.5048871	-0.1270364
131	Queen's House	51.4820858	-0.005399999999999999
132	Wimbledon	51.4342911	-0.2144883
133	Royal Courts of Justice	51.5111922	-0.1194006
134	West End	51.5073509	-0.1277583
135	South Kensington	51.4908359	-0.1853462
136	Thames River	51.5073509	-0.1277583
137	Mayfair	51.5073509	-0.1277583
138	WWT London Wetland Centre	51.4765405	-0.2354679
139	The UK Supreme Court	51.5005396	-0.1275137
140	Southwark Cathedral	51.5062706	-0.0902336
141	The Fan Museum	51.4791354	-0.0080515
142	18 Stafford Terrace - The Sambourne Family Home	51.50057930000001	-0.1965906
143	Saatchi Gallery	51.4906972	-0.1587165
144	Brompton Cemetery	51.4849855	-0.1826668
145	Somerset House	51.5117267	-0.117996
146	Gielgud Theatre	51.5118371	-0.13294
147	Italian Gardens	51.506987	-0.179165
148	St. Pancras International Station	51.531427	-0.126133
149	The Museum of the Order of St John	51.522026	-0.102734
150	Dinerama - Street Feast	51.5234325	-0.0791284
151	Regent Street	51.5189423	-0.1586473
152	Camden Locks Canalside	51.5410058	-0.1465922
153	Crossrail Place Roof Garden	51.5059791	-0.0177437
154	Eltham Palace and Gardens	51.4470483	0.048435
155	Vauxhall Bridge	51.5073509	-0.1277583
156	Victoria Palace Theatre	51.49662319999999	-0.1425867
157	Trafalgar Square	51.5278249	-0.1025445
158	London Coliseum	51.5106809	-0.1269616
159	Notting Hill	51.5096281	-0.1703541
160	Savoy Theatre	51.510268	-0.1206062
161	Royal Academy of Arts	51.5094426	-0.1398686
162	Cutty Sark	51.4811281	-0.0080615
163	Apollo Victoria Theatre	51.4955159	-0.1424518
164	Mercato Metropolitano London	51.4982474	-0.09805269999999999
165	Roberson Wine	51.4861443	-0.1967229
166	Dulwich Picture Gallery	51.446127	-0.0869115
167	Regent's Canal	51.5215931	-0.1833011
168	Wesley's Chapel & Museum of Methodism	51.52372339999999	-0.08666
169	The Monument to the Great Fire of London	51.5099492	-0.0853782
170	St. Christopher's Place	51.5073509	-0.1277583
171	Newport Street Gallery	51.4934533	-0.117116
172	Duke of York's Theatre	51.5102263	-0.1270482
173	Leighton House Museum and Art Gallery	51.4986749	-0.2030421
174	Criterion Theatre	51.5097608	-0.1343267
175	Lego Shop	51.5104337	-0.1309441
176	Brick Lane Market	51.5212858	-0.0718801
177	Soho	51.5073509	-0.1277583
178	Victoria Embankment Gardens	51.5113642	-0.107578
179	Brick Lane	51.5181276	-0.0714264
180	Leake Street Tunnel	51.5019008	-0.1155791
181	Dr. Johnson's House	51.5150571	-0.1081787
182	Albert Memorial	51.5009088	-0.177366
183	Menier Chocolate Factory	51.5046425	-0.09436069999999999
184	ArcelorMittal Orbit	51.5384281	-0.0129014
185	Tardis Police Box	51.4920503	-0.193087
186	Greenwich Market	51.4811661	-0.009848599999999999
187	Golden Hinde	51.5068925	-0.09036970000000001
188	Royal Mews	51.4987662	-0.1444878
189	London Palladium	51.5140982	-0.1405286
190	Bank of England Museum	51.5144619	-0.0873886
191	The London Film Museum - Covent Garden	51.5122769	-0.1211723
192	Roundhouse	51.5430406	-0.1513118
193	30 St Mary Axe (The Gherkin)	51.5144054	-0.08025109999999999
194	Battle of Britain Monument	51.5099673	-0.1180867
195	Canary Wharf	51.5051005	-0.0214361
196	The Household Cavalry Museum	51.5048871	-0.1270364
197	Urban Food Fest	51.5250036	-0.0776689
198	St. Martins Theatre	51.51297659999999	-0.128096
199	Cambridge Theatre	51.5136653	-0.1266294
200	Westminster Bridge	51.5073509	-0.1277583
201	The Kia Oval	51.4837512	-0.1149112
202	Queen Mary's Gardens	51.529097	-0.1533219
203	Geffrye Museum	51.53165749999999	-0.07681059999999999
204	Green Park	51.5079368	-0.1395476
205	Victoria Embankment	51.5073509	-0.1277583
206	Harold Pinter Theatre	51.5092978	-0.1318302
207	The Foundling Museum	51.5252065	-0.121658
208	Clarence House	51.5045855	-0.1378269
209	Boxpark Shoreditch	51.5234906	-0.0764069
210	Severndroog Castle	51.466641	0.059824
211	Banqueting House	51.5054481	-0.1241466
212	Piccadilly Theatre	51.510932	-0.1356508
213	Shaftsbury Theatre	51.516203	-0.1261448
214	The Mall	51.50464849999999	-0.1338731
215	Old Spitalfields Market	51.5196641	-0.0754435
216	One New Change	51.5138239	-0.095457
217	Abbey Road Studios	51.5321471	-0.1779579
218	Brixton Village	51.4612772	-0.1156105
219	Horniman Museum and Gardens	51.441035	-0.061009
220	Cenotaph	51.50468679999999	-0.1264517
221	Spencer House	51.50516890000001	-0.1402307
222	Queen Victoria Memorial	51.50464849999999	-0.1338731
223	Bond Street	51.5073509	-0.1277583
224	Southwark	51.5073509	-0.1277583
225	The Postal Museum	51.52475099999999	-0.113926
226	Millennium Bridge	51.4911012	-0.1220798
227	Palace Theatre	51.51313589999999	-0.1297985
228	Westfield London	51.5091388	-0.2215622
229	BFI Southbank	51.503513	-0.1173553
230	Whitehall	51.4994794	-0.1248092
231	The Burghers of Calais Statue	51.4969444	-0.125
232	Parliament Square	51.5073509	-0.1277583
233	Royal Observatory Greenwich	51.4753424	0.0013649
234	Oxford Street	51.5153687	-0.1415585
235	Tate Modern	51.5082952	-0.0977907
236	Bateaux London	51.5101078	-0.1174064
237	St James Theatre	51.4988073	-0.1422935
238	RHS Chelsea Flower Show	51.48775329999999	-0.1587507
239	Inns of Court	51.51421999999999	-0.1081082
